Player,id
Alaa Abdelnaby,abdelal01
Zaid Abdul-Aziz,abdulza01
Kareem Abdul-Jabbar,abdulka01
Mahmoud Abdul-Rauf,abdulma02
Tariq Abdul-Wahad,abdulta01
Shareef Abdur-Rahim,abdursh01
Tom Abernethy,abernto01
Forest Able,ablefo01
John Abramovic,abramjo01
Alex Abrines,abrinal01
Alex Acker,ackeral01
Don Ackerman,ackerdo01
Mark Acres,acresma01
Bud Acton,actonbu01
Quincy Acy,acyqu01
Alvan Adams,adamsal01
Don Adams,adamsdo01
George Adams,adamsge01
Hassan Adams,adamsha01
Jordan Adams,adamsjo01
Michael Adams,adamsmi01
Steven Adams,adamsst01
Rafael Addison,addisra01
Bam Adebayo,adebaba01
Rick Adelman,adelmri01
Jeff Adrien,adrieje01
Arron Afflalo,afflaar01
Maurice Ager,agerma01
Mark Aguirre,aguirma01
Blake Ahearn,ahearbl01
Danny Ainge,aingeda01
Matthew Aitch,aitchma01
Alexis Ajinca,ajincal01
Henry Akin,akinhe01
Josh Akognon,akognjo01
Solomon Alabi,alabiso01
Mark Alarie,alarima01
Gary Alcorn,alcorga01
Furkan Aldemir,aldemfu01
Cole Aldrich,aldrico01
LaMarcus Aldridge,aldrila01
Chuck Aleksinas,aleksch01
Cliff Alexander,alexacl01
Cory Alexander,alexaco01
Courtney Alexander,alexaco02
Gary Alexander,alexaga01
Joe Alexander,alexajo01
Victor Alexander,alexavi01
Steve Alford,alforst01
Bill Allen,allenbi01
Bob Allen,allenbo01
Jarrett Allen,allenja01
Jerome Allen,allenje01
Kadeem Allen,allenka01
Lavoy Allen,allenla01
Lucius Allen,allenlu01
Malik Allen,allenma01
Randy Allen,allenra01
Ray Allen,allenra02
Tony Allen,allento01
Willie Allen,allenwi01
Odis Allison,allisod01
Lance Allred,allrela01
Darrell Allums,allumda01
Morris Almond,almonmo01
Derrick Alston,alstode01
Rafer Alston,alstora01
Peter Aluma,alumape01
John Amaechi,amaecjo01
Ashraf Amaya,amayaas01
Al-Farouq Aminu,aminual01
Lou Amundson,amundlo01
Bob Anderegg,anderbo01
Chris Andersen,anderch01
David Andersen,anderda03
Alan Anderson,anderal01
Andrew Anderson,anderan01
Antonio Anderson,anderan02
Cliff Anderson,andercl01
Dan Anderson,anderda01
Dan Anderson,anderda02
Derek Anderson,anderde01
Dwight Anderson,anderdw01
Eric Anderson,anderer01
Greg Anderson,andergr01
J.J. Anderson,anderjj01
James Anderson,anderja01
Jerome Anderson,anderje01
Justin Anderson,anderju01
Kenny Anderson,anderke01
Kim Anderson,anderki01
Kyle Anderson,anderky01
Michael Anderson,andermi01
Nick Anderson,anderni01
Richard Anderson,anderri01
Ron Anderson,anderro01
Ryan Anderson,anderry01
Shandon Anderson,andersh01
Willie Anderson,anderwi01
Wally Anderzunas,anderwa01
Martynas Andriuskevicius,andrima01
Don Anielak,anieldo01
Ike Anigbogu,anigbik01
Michael Ansley,anslemi01
Chris Anstey,anstech01
Giannis Antetokounmpo,antetgi01
Thanasis Antetokounmpo,antetth01
Carmelo Anthony,anthoca01
Greg Anthony,anthogr01
Joel Anthony,anthojo01
Pero Antic,anticpe01
OG Anunoby,anunoog01
Keith Appling,applike01
Rafael Araujo,araujra01
Stacey Arceneaux,arcenst01
Robert Archibald,archiro01
Tiny Archibald,architi01
Ryan Arcidiacono,arcidry01
Jim Ard,ardji01
Gilbert Arenas,arenagi01
Trevor Ariza,arizatr01
Paul Arizin,arizipa01
Joe Arlauckas,arlaujo01
B.J. Armstrong,armstbj01
Bob Armstrong,armstbo01
Brandon Armstrong,armstbr01
Curly Armstrong,armstcu01
Darrell Armstrong,armstda01
Hilton Armstrong,armsthi01
Tate Armstrong,armstta01
Jesse Arnelle,arnelje01
Jay Arnette,arnetja01
Bob Arnzen,arnzebo01
Carlos Arroyo,arroyca01
Darrell Arthur,arthuda01
John Arthurs,arthujo01
Jamel Artis,artisja01
Omer Asik,asikom01
Vincent Askew,askewvi01
Keith Askins,askinke01
Don Asmonga,asmondo01
Dick Atha,athadi01
Chucky Atkins,atkinch01
Al Attles,attleal01
Chet Aubuchon,aubucch01
Stacey Augmon,augmost01
D.J. Augustin,augusdj01
James Augustine,augusja01
Isaac Austin,austiis01
Johnny Austin,austijo01
Ken Austin,austike01
Anthony Avent,aventan01
Bird Averitt,averibi01
William Avery,averywi01
Dennis Awtrey,awtrede01
Gustavo Ayon,ayongu01
Jeff Ayres,pendeje02
Kelenna Azubuike,azubuke01
Chris Babb,babbch01
Luke Babbitt,babbilu01
Milos Babic,babicmi01
Johnny Bach,bachjo01
Dwayne Bacon,bacondw01
Henry Bacon,baconhe01
Jim Baechtold,baechji01
Dalibor Bagaric,bagarda01
John Bagley,baglejo01
Carl Bailey,baileca01
Gus Bailey,bailegu01
James Bailey,baileja01
Thurl Bailey,baileth01
Toby Bailey,baileto01
Cameron Bairstow,bairsca01
Jimmie Baker,bakerji01
LaMark Baker,bakerla01
Maurice Baker,bakerma01
Norm Baker,bakerno01
Ron Baker,bakerro01
Vin Baker,bakervi01
Wade Baldwin,baldwwa01
Renaldo Balkman,balkmre01
Cedric Ball,ballce01
Lonzo Ball,balllo01
Greg Ballard,ballagr01
Herschel Baltimore,baltihe01
Gene Banks,banksge01
Marcus Banks,banksma01
Walker Banks,bankswa01
Ken Bannister,bannike01
Mike Bantom,bantomi01
John Barber,barbejo01
Leandro Barbosa,barbole01
